releaseTitle,trackNumber,trackTitle,duration,spotifyUrl,appleUrl,youtubeUrl,bandcampUrl,customLinksJson
The Sewer Monsters EP,1,Catch A Fire,,,,https://youtu.be/j3ZNM8qreIc?si=Jyj8_BwtSEjN8L07,,
The Sewer Monsters EP,2,English,,,,https://youtu.be/9yAwg8kpeJ4?si=KA0lbuPsxJev1X9a,,
The Sewer Monsters EP,3,R2D2,,,,https://youtu.be/3hN1A8Lz9j8?si=Jf2LTIS8XwR35fX1,,
The Sewer Monsters EP,4,Just Dance For Me,,,,https://youtu.be/k6qfGptNa1o?si=54nEl60tJ1xXPJ1Z,,
Oh Gosh,1,Oh Gosh (Analogue Mix),,,,https://youtu.be/LnyKBEo4f4E?si=8ua0CHfWJL9o9Meq,,
Oh Gosh,2,Can't Quite Understand,,,,https://youtu.be/VgM1mZQ_9co?si=u9hySZqHqS-FD_xR,,
Oh Gosh,3,Lickwood (Southside Mix),,,,https://youtu.be/jd-44sOQw7E?si=bxKFk16baB0tbmsv,,
Poison EP,1,Burial Ground,,,,https://youtu.be/kVhbrICDXco?si=a6oxMtIc0nBxdHIJ,,
Poison EP,2,You Wanna Break,,,,https://youtu.be/DAzPtAGZQ60?si=MxFcbQ6439soQqIK,,
Poison EP,3,Feel So Good,,,,https://youtu.be/hL2RwwbNW40?si=W4ZgZ4M85scRTImE,,
Untitled EP,1,Crash Test 1,,,,https://youtu.be/P1aAEDjbv50?si=Ke2OjZrb3jiWL4HT,,
Untitled EP,2,Get Off The Mic,,,,https://youtu.be/orPSakPal10?si=ClsRB8LKH9J0bfqC,,
Untitled EP,3,Run Riddim,,,,https://youtu.be/SvPOiVI8H_M?si=vx_Xm7u9PxjgV_rs,,
Umbrella Crew,1,Jungle Tremble,,,,https://youtu.be/SAqyjjVXkjU?si=cczWtcHhXB8lfsZ-,,
Crash Test No 2,1,Crash Test No 2 (Drone Edit Mix),,,,https://youtu.be/DFvzjby23Dg?si=LHgiIXP2YcvM1eR3,,
